list_place,list_date_time,detail_plaats,detail_datum,stance,language,identifies_as_immigrant
HOOFDDORP,01 oktober 2025 (22:03),HOOFDDORP,1 oktober 2025,Against,Dutch,Yes
Numansdorp ,01 oktober 2025 (22:01),Numansdorp,1 oktober 2025,Against,Dutch,Unclear
Breda,01 oktober 2025 (22:00),Breda,1 oktober 2025,Against,English,Unclear
Almere,01 oktober 2025 (21:59),Almere,1 oktober 2025,Against,Dutch,Unclear
Hoofddorp,01 oktober 2025 (21:59),Hoofddorp,1 oktober 2025,Against,Dutch,Yes
Wijchen,01 oktober 2025 (21:58),Wijchen,1 oktober 2025,Against,Dutch,Unclear
Amstelveen,01 oktober 2025 (21:53),Amstelveen,1 oktober 2025,Against,Dutch,Yes
Diemen,01 oktober 2025 (21:53),Diemen,1 oktober 2025,Against,Dutch,Yes
Alphen aan den rijn,01 oktober 2025 (21:50),Alphen aan den rijn,1 oktober 2025,Against,Dutch,Yes
Amsterdam,01 oktober 2025 (21:48),Amsterdam,1 oktober 2025,Against,Dutch,Unclear
Bergen op zoom,01 oktober 2025 (21:48),Bergen op zoom,1 oktober 2025,Against,Other,Unclear
Overloon,01 oktober 2025 (21:45),Overloon,1 oktober 2025,Against,Dutch,Unclear
Hilversum,01 oktober 2025 (21:39),Hilversum,1 oktober 2025,Against,Dutch,Unclear
Diemen,01 oktober 2025 (21:36),Diemen,1 oktober 2025,Against,Dutch,Yes
Amsterdam,01 oktober 2025 (21:34),Amsterdam,1 oktober 2025,Against,Dutch,Yes
Rotterdam ,01 oktober 2025 (21:29),Rotterdam,1 oktober 2025,Against,English,Yes
Helmond,01 oktober 2025 (21:26),Helmond,1 oktober 2025,Against,English,Yes
Utrecht ,01 oktober 2025 (21:25),Utrecht,1 oktober 2025,Against,Dutch,Yes
Best,01 oktober 2025 (21:25),Best,1 oktober 2025,Against,English,Yes
NUENEN,01 oktober 2025 (21:22),NUENEN,1 oktober 2025,Against,English,Unclear
Utrecht ,01 oktober 2025 (21:21),Utrecht,1 oktober 2025,Against,Dutch,Unclear
3823 DM,01 oktober 2025 (21:17),3823 DM,1 oktober 2025,Against,Dutch,Yes
Utrecht,01 oktober 2025 (21:13),Utrecht,1 oktober 2025,Against,English,Yes
Utrecht,01 oktober 2025 (21:09),Utrecht,1 oktober 2025,Against,Dutch,Unclear
Breda,01 oktober 2025 (21:06),Breda,1 oktober 2025,Against,English,Yes
Delft,01 oktober 2025 (21:05),Delft,1 oktober 2025,Against,Dutch,Unclear
Helmond,01 oktober 2025 (20:58),Helmond,1 oktober 2025,Against,Dutch,Yes
Den Bosch,01 oktober 2025 (20:56),Den Bosch,1 oktober 2025,Against,Dutch,Unclear
